title,price,location,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,garasi,carport,sertifikat,jumlah_lantai,url
Rumah 2 Lantai Full Renovasi Trimezia Gading Serpong BSD City Tangerang Banten,2650000000,Tangerang Gading Serpong,120,120,3.0,3.0,2.0,2.0,SHM,2,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-trimezia-gading-serpong-bsd-city-tangerang-banten-hos40646094/
Di Jual Cepat Rumah Minimalis 2Lt 4Kt di Harapan Indah Bekasi,1500000000,Bekasi Harapan Indah,112,159,4.0,4.0,1.0,0.0,SHM,2,https://www.rumah123.com/properti/bekasi-harapan-indah/di-jual-rumah-minimalis-2lt-4kt-di-harapan-indah-bekasi-hos41189726/
Rumah 2 Lantai Lokasi Strategis Siap Huni Jatibening Bekasi,4900000000,Bekasi Jatibening,310,550,7.0,7.0,0.0,2.0,SHM,2,https://www.rumah123.com/properti/bekasi-jatibening/rumah-mewah-modern-2-lantai-siap-huni-jatibening-hos41149947/
Rumah Dijual 3 Lantai Mewah Premium Elit Luas Lokasi Strategis Dekat Mall,6800000000,Bekasi Harapan Indah,160,215,5.0,6.0,2.0,2.0,Lainnya,3,https://www.rumah123.com/properti/bekasi-harapan-indah/rumah-dijual-3-lantai-mewah-premium-elit-luas-lokasi-strategis-dekat-mall-hos41056007/
"Rumah 3 Lantai Take Over di Jati Asih Bekasi, Full Furnished",400000000,Bekasi Jati Asih,68,100,3.0,3.0,0.0,2.0,SHM,3,https://www.rumah123.com/properti/bekasi-jati-asih/rumah-3-lantai-take-over-di-jati-asih-bekasi-full-furnished-hos41061961/
"Rumah Hoek Baru, di Summarecon Crown Gading, 5 Kamar",7750000000,Bekasi Summarecon Bekasi,272,310,4.0,4.0,0.0,0.0,SHM,1,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/rumah-hoek-baru-di-summarecon-crown-gading-5-kamar-hos40961700/
Dijual Rumah Mewah Bagus 3 Lantai Fasilitas Lengkap,4600000000,Bekasi Harapan Indah,112,156,5.0,4.0,2.0,2.0,Lainnya,3,https://www.rumah123.com/properti/bekasi-harapan-indah/dijual-rumah-mewah-bagus-3-lantai-fasilitas-lengkap-hos40315275/
Rumah Premium 2 Lantai Lokasi Strategis Ada Danau Dalam Kawasan,2300000000,Bekasi Harapan Indah,84,87,3.0,3.0,1.0,1.0,Lainnya,2,https://www.rumah123.com/properti/bekasi-harapan-indah/rumah-premium-2-lantai-lokasi-strategis-ada-danau-dalam-kawasan-hos40222418/
Hunian Nyaman Luas 3 Lantai Dekat Mall Fasilitas Lengkap,4600000000,Bekasi Summarecon Bekasi,112,156,5.0,4.0,2.0,2.0,Lainnya,3,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/hunian-nyaman-luas-3-lantai-dekat-mall-fasilitas-lengkap-hos40315311/
Rumah Baru Elit dan Mewah 2 Lantai Strategis Fasilitas Komplit,2300000000,Bekasi Summarecon Bekasi,84,87,3.0,3.0,1.0,1.0,Lainnya,2,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/rumah-baru-elit-dan-mewah-2-lantai-strategis-fasilitas-komplit-hos40222478/
Dijual Rumah Kondisi Baru 3 Lantai Super Mewah Premium Area Strategis,6800000000,Bekasi Jatibening,160,215,4.0,5.0,2.0,2.0,Lainnya,3,https://www.rumah123.com/properti/bekasi-jatibening/dijual-rumah-kondisi-baru-3-lantai-super-mewah-premium-area-strategis-hos41056047/
Dijual Rumah Siap Huni di Jalan Utama Pondok Gede Bekasi,2000000000,Bekasi Jatiwaringin,108,165,3.0,3.0,0.0,2.0,SHM,2,https://www.rumah123.com/properti/bekasi-jatiwaringin/dijual-rumah-siap-huni-di-jalan-utama-pondok-gede-bekasi-hos16920702/
Rumah Strategis di Kota Harapan Indah - Jl. Salak Sudah SHM | Hanya 700 Juta! (028),700000000,Bekasi Harapan Indah,81,81,2.0,1.0,0.0,1.0,SHM,1,https://www.rumah123.com/properti/bekasi-harapan-indah/rumah-strategis-di-kota-harapan-indah-jl-salak-sudah-shm-hanya-700-juta-028-hos41146502/
Jual Rumah 2 Lantai Hoek Lokasi Bagus Tanah Luas SHM Dekat Clubhouse Palm Residence dan Summarecon Mal Bekasi,3900000000,Bekasi Summarecon Bekasi,240,150,3.0,3.0,1.0,1.0,SHM,2,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/jualbrumah-2-lantai-hoek-lokasi-bagus-tanah-luas-shm-dekat-clubhouse-palm-residence-dan-summarecon-mal-bekasi-hos40922431/
Jual Rumah Murah Scandinavian di Bekasi Timur Regency Mustikajaya,850000000,Bekasi Bekasi,78,96,3.0,3.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/bekasi-bekasi/jual-rumah-murah-scandinavian-di-bekasi-timur-regency-mustikajaya-hos41102348/
Rumah Hook Besar Dekat Club House di Summarecon Bekasi,4250000000,Bekasi Summarecon Bekasi,180,150,4.0,3.0,0.0,2.0,PPJB,2,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/rumah-hook-besar-dekat-club-house-di-summarecon-bekasi-hos40517002/
